name_in_ds2_full	TID	name	official name	superkingdom	phylum	class	order	family	genus	species	subspecies
Candidatus_Sulcia_muelleri_GWSS	641892	Sulcia muelleri DMIN	Candidatus Sulcia muelleri DMIN	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	1	Candidatus Sulcia	Candidatus Sulcia muelleri	1
Citrobacter_koseri_ATCC_BAA_895	290338	Citrobacter koseri	Citrobacter koseri ATCC BAA-895	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	Citrobacter koseri	1
Citrobacter_sp_30_2	469595	Citrobacter sp. 302	Citrobacter sp. 30_2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	1	1
Clostridium_difficile_630	272563	Clostridium difficile	Clostridium difficile 630	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptoclostridium	Peptoclostridium difficile	1
Clostridium_hylemonae_DSM_15053	553973	Clostridium hylemonae	Clostridium hylemonae DSM 15053	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Clostridium hylemonae	1
Clostridium_perfringens_ATCC_13124	195103	Clostridium perfringens ATCC13124	Clostridium perfringens ATCC 13124	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens	1
Clostridium_phytofermentans_ISDg	357809	Clostridium phytofermentans	Clostridium phytofermentans ISDg	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Lachnoclostridium phytofermentans	1
Clostridium_ramosum_VPI_0427_DSM_1402	445974	Clostridium ramosum	Clostridium ramosum DSM 1402	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	Erysipelatoclostridium ramosum	1
Clostridium_sp_7_2_43FAA	457396	Clostridium sp. 7243FAA	Clostridium sp. 7_2_43FAA	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	1	1
Clostridium_spiroforme_DSM_1552	428126	Clostridium spiroforme	Clostridium spiroforme DSM 1552	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	Clostridium spiroforme	1
Collinsella_intestinalis_DSM_13280	521003	Collinsella intestinalis	Collinsella intestinalis DSM 13280	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella intestinalis	1
Collinsella_stercoris_DSM_13279	445975	Collinsella stercoris	Collinsella stercoris DSM 13279	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella stercoris	1
Cronobacter_sakazakii_ATCC_BAA_894	290339	Cronobacter sakazakii	Cronobacter sakazakii ATCC BAA-894	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii	1
