name_in_ds2_full	TID	name	official name	superkingdom	phylum	class	order	family	genus	species	subspecies
Blautia_hansenii_VPI_C7_24_DSM_20583	537007	Blautia hansenii	Blautia hansenii DSM 20583	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia hansenii	1
Bryantella_formatexigens_I_52_DSM_14469	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Butyrivibrio_crossotus_DSM_2876	511680	Butyrivibrio crossotus	Butyrivibrio crossotus DSM 2876	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Butyrivibrio crossotus	1
Catenibacterium_mitsuokai_DSM_15897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridiales_sp_SS3_4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_asparagiforme_DSM_15981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_bartlettii_DSM_16795	445973	Clostridium bartlettii	Clostridium bartlettii DSM 16795	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Intestinibacter	Intestinibacter bartlettii	1
Clostridium_bolteae_ATCC_BAA_613	411902	Clostridium bolteae	Clostridium bolteae ATCC BAA-613	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Clostridium bolteae	1
Clostridium_leptum_DSM_753	428125	Clostridium leptum	Clostridium leptum DSM 753	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	Clostridium leptum	1
Clostridium_methylpentosum_R2_DSM_5476	537013	Clostridium methylpentosum	Clostridium methylpentosum DSM 5476	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	Clostridium methylpentosum	1
Clostridium_nexile_DSM_1787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_scindens_ATCC_35704	411468	Clostridium scindens	Clostridium scindens ATCC 35704	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Clostridium scindens	1
Clostridium_sp_L2_50	411489	Clostridium sp. L250	Clostridium sp. L2-50	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	1	1
Clostridium_sp_M62_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_sp_SS2_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Collinsella_aerofaciens_ATCC_25986	411903	Collinsella aerofaciens	Collinsella aerofaciens ATCC 25986	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens	1
Coprobacillus_sp_D7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coprococcus_eutactus_ATCC_27759	411474	Coprococcus eutactus	Coprococcus eutactus ATCC 27759	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus eutactus	1
Dorea_formicigenerans_ATCC_27755	411461	Dorea formicigenerans	Dorea formicigenerans ATCC 27755	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea formicigenerans	1
Dorea_longicatena_DSM_13814	411462	Dorea longicatena	Dorea longicatena DSM 13814	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea longicatena	1
Enterococcus_faecalis_TX0104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eubacterium_biforme_DSM_3989	518637	Eubacterium biforme	Eubacterium biforme DSM 3989	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella biformis	1
Eubacterium_hallii_DSM_3353	411469	Eubacterium hallii	Eubacterium hallii DSM 3353	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium hallii	1
Eubacterium_rectale_M104_1	657318	Eubacterium rectale	Eubacterium rectale DSM 17629	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium rectale	1
Eubacterium_siraeum_70_3	657319	Eubacterium siraeum	Eubacterium siraeum 70/3	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	Eubacterium siraeum	1
Eubacterium_ventriosum_ATCC_27560	411463	Eubacterium ventriosum	Eubacterium ventriosum ATCC 27560	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium ventriosum	1
Faecalibacterium_prausnitzii_SL3_3	657322	Faecalibacterium prausnitzii SL33	Faecalibacterium prausnitzii SL3/3	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	1
Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Holdemania_filiformis_VPI_J1_31B_1_DSM_12042	545696	Holdemania filiformis	Holdemania filiformis DSM 12042	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania filiformis	1
Parabacteroides_distasonis_ATCC_8503	435591	Parabacteroides distasonis	Parabacteroides distasonis ATCC 8503	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides distasonis	1
Parabacteroides_johnsonii_DSM_18315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Parabacteroides_merdae_ATCC_43184	411477	Parabacteroides merdae	Parabacteroides merdae ATCC 43184	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides merdae	1
