TID	name	official name	superkingdom	phylum	class	order	family	genus	species	subspecies	STRING_type
391600	Brevundimonas sp. BAL3	Brevundimonas sp. BAL3	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	1	1	core
391613	Roseovarius sp. TM1035	Roseovarius sp. TM1035	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	1	1	core
391619	Phaeobacter gallaeciensis	Phaeobacter gallaeciensis DSM 17395	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter inhibens	1	core
391624	Oceanibulbus indolifex	Oceanibulbus indolifex HEL-45	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanibulbus	Oceanibulbus indolifex	1	core
391625	Plesiocystis pacifica	Plesiocystis pacifica SIR-1	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Plesiocystis	Plesiocystis pacifica	1	core
391626	Octadecabacter antarcticus 307	Octadecabacter antarcticus 307	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Octadecabacter	Octadecabacter antarcticus	1	core
391735	Verminephrobacter eiseniae	Verminephrobacter eiseniae EF01-2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Verminephrobacter	Verminephrobacter eiseniae	1	core
394221	Maricaulis maris	Maricaulis maris MCS10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Maricaulis	Maricaulis maris	1	core
395494	Gallionella capsiferriformans	Gallionella capsiferriformans ES-2	Bacteria	Proteobacteria	Betaproteobacteria	Gallionellales	Gallionellaceae	Gallionella	Gallionella capsiferriformans	1	core
395495	Leptothrix cholodnii	Leptothrix cholodnii SP-6	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	1	Leptothrix	Leptothrix cholodnii	1	core
395963	Beijerinckia indica	Beijerinckia indica subsp. indica ATCC 9039	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia indica	Beijerinckia indica subsp. indica	core
395965	Methylocella silvestris	Methylocella silvestris BL2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocella	Methylocella silvestris	1	core
396595	Thioalkalivibrio sp. K90mix	Thioalkalivibrio sp. K90mix	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	1	1	core
