TID	name	official name	superkingdom	phylum	class	order	family	genus	species	subspecies	STRING_type
477974	Desulforudis audaxviator	Candidatus Desulforudis audaxviator MP104C	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Candidatus Desulforudis	Candidatus Desulforudis audaxviator	1	core
478801	Kytococcus sedentarius	Kytococcus sedentarius DSM 20547	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae	Kytococcus	Kytococcus sedentarius	1	core
479431	Nakamurella multipartita	Nakamurella multipartita DSM 44233	Bacteria	Actinobacteria	Actinobacteria	Nakamurellales	Nakamurellaceae	Nakamurella	Nakamurella multipartita	1	core
479432	Streptosporangium roseum	Streptosporangium roseum DSM 43021	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Streptosporangium	Streptosporangium roseum	1	core
479433	Catenulispora acidiphila	Catenulispora acidiphila DSM 44928	Bacteria	Actinobacteria	Actinobacteria	Catenulisporales	Catenulisporaceae	Catenulispora	Catenulispora acidiphila	1	core
479434	Sphaerobacter thermophilus	Sphaerobacter thermophilus DSM 20745	Bacteria	Chloroflexi	Thermomicrobia	Sphaerobacterales	Sphaerobacteraceae	Sphaerobacter	Sphaerobacter thermophilus	1	core
479435	Kribbella flavida	Kribbella flavida DSM 17836	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Kribbella	Kribbella flavida	1	core
479437	Eggerthella lenta	Eggerthella lenta DSM 2243	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Eggerthella lenta	1	core
481448	Methylacidiphilum infernorum	Methylacidiphilum infernorum V4	Bacteria	Verrucomicrobia	1	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	Methylacidiphilum infernorum	1	core
481805	Escherichia coli ATCC8739	Escherichia coli ATCC 8739	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia coli	1	periphery
483216	Bacteroides eggerthii	Bacteroides eggerthii DSM 20697	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides eggerthii	1	core
483218	Bacteroides pectinophilus	Bacteroides pectinophilus ATCC 43243	Bacteria	Firmicutes	Clostridia	Clostridiales	1	1	Bacteroides pectinophilus	1	core
483219	Myxococcus fulvus	Myxococcus fulvus HW-1	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus fulvus	1	core
485913	Ktedonobacter racemifer	Ktedonobacter racemifer DSM 44963	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Ktedonobacter	Ktedonobacter racemifer	1	core
485914	Halomicrobium mukohataei	Halomicrobium mukohataei DSM 12286	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halomicrobium	Halomicrobium mukohataei	1	core
485915	Desulfohalobium retbaense	Desulfohalobium retbaense DSM 5692	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfohalobiaceae	Desulfohalobium	Desulfohalobium retbaense	1	core
485918	Chitinophaga pinensis	Chitinophaga pinensis DSM 2588	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Chitinophaga	Chitinophaga pinensis	1	core
488538	Puniceispirillum marinum	Candidatus Puniceispirillum marinum IMCC1322	Bacteria	Proteobacteria	Alphaproteobacteria	1	1	Candidatus Puniceispirillum	Candidatus Puniceispirillum marinum	1	core
489825	Moorea producta	Moorea producta 3L	Bacteria	Cyanobacteria	1	Oscillatoriales	1	Moorea	Moorea producens	1	core
490899	Desulfurococcus kamchatkensis	Desulfurococcus kamchatkensis 1221n	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus kamchatkensis	1	core
491915	Anoxybacillus flavithermus	Anoxybacillus flavithermus WK1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	Anoxybacillus flavithermus	1	core
497964	Chthoniobacter flavus	Chthoniobacter flavus Ellin428	Bacteria	Verrucomicrobia	Spartobacteria	1	1	Chthoniobacter	Chthoniobacter flavus	1	core
498211	Cellvibrio japonicus	Cellvibrio japonicus Ueda107	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Cellvibrio	Cellvibrio japonicus	1	core
498217	Edwardsiella tarda	Edwardsiella tarda EIB202	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Edwardsiella	Edwardsiella tarda	1	core
498742	Borrelia spielmanii	Borrelia spielmanii A14S	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia spielmanii	1	core
498761	Heliobacterium modesticaldum	Heliobacterium modesticaldum Ice1	Bacteria	Firmicutes	Clostridia	Clostridiales	Heliobacteriaceae	Heliobacterium	Heliobacterium modesticaldum	1	core
498848	Thermus aquaticus	Thermus aquaticus Y51MC23	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Thermus	Thermus aquaticus	1	core
499229	Tepidanaerobacter sp. Re1	Tepidanaerobacter sp. Re1	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Tepidanaerobacter	1	1	core
500635	Mitsuokella multacida	Mitsuokella multacida DSM 20544	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Mitsuokella	Mitsuokella multacida	1	core
501479	Citreicella sp. SE45	Citreicella sp. SE45	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Citreicella	1	1	core
502025	Haliangium ochraceum	Haliangium ochraceum DSM 14365	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Kofleriaceae	Haliangium	Haliangium ochraceum	1	core
502347	Escherichia albertii	Escherichia albertii TW07627	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia albertii	1	core
504472	Spirosoma linguale	Spirosoma linguale DSM 74	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma	Spirosoma linguale	1	core
504728	Meiothermus ruber	Meiothermus ruber DSM 1279	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Meiothermus	Meiothermus ruber	1	core
504832	Oligotropha carboxidovorans	Oligotropha carboxidovorans OM5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Oligotropha	Oligotropha carboxidovorans	1	core
506534	Rheinheimera sp. A13L	Rheinheimera sp. A13L	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Rheinheimera	1	1	core
509191	Acetivibrio cellulolyticus	Acetivibrio cellulolyticus CD2	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetivibrio	Acetivibrio cellulolyticus	1	core
511062	Oceanimonas sp. GK1	Oceanimonas sp. GK1	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Oceanimonas	1	1	core
511145	Escherichia coli K12 MG1655	Escherichia coli str. K-12 substr. MG1655	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia coli	1	core
511995	Azobacteroides pseudotrichonymphae	Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	1	Candidatus Azobacteroides	Candidatus Azobacteroides pseudotrichonymphae	1	core
513049	Arthrospira maxima	Arthrospira maxima CS-328	Bacteria	Cyanobacteria	1	Oscillatoriales	1	Arthrospira	Arthrospira maxima	1	core
515618	Riesia pediculicola	Candidatus Riesia pediculicola USDA	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Candidatus Riesia	Candidatus Riesia pediculicola	1	core
515620	Eubacterium eligens	Eubacterium eligens ATCC 27750	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium eligens	1	core
515622	Butyrivibrio proteoclasticus	Butyrivibrio proteoclasticus B316	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Butyrivibrio proteoclasticus	1	core
515635	Dictyoglomus turgidum	Dictyoglomus turgidum DSM 6724	Bacteria	Dictyoglomi	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus	Dictyoglomus turgidum	1	core
517418	Chloroherpeton thalassium	Chloroherpeton thalassium ATCC 35110	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chloroherpeton	Chloroherpeton thalassium	1	core
518766	Rhodothermus marinus	Rhodothermus marinus DSM 4252	Bacteria	Bacteroidetes	1	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Rhodothermus	Rhodothermus marinus	1	core
519441	Streptobacillus moniliformis	Streptobacillus moniliformis DSM 12112	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Streptobacillus	Streptobacillus moniliformis	1	core
519442	Halorhabdus utahensis	Halorhabdus utahensis DSM 12940	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorhabdus	Halorhabdus utahensis	1	core
521003	Collinsella intestinalis	Collinsella intestinalis DSM 13280	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella intestinalis	1	core
521011	Methanosphaerula palustris	Methanosphaerula palustris E1-9c	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanosphaerula	Methanosphaerula palustris	1	core
521045	Kosmotoga olearia	Kosmotoga olearia TBF 19.5.1	Bacteria	Thermotogae	Thermotogae	Kosmotogales	Kosmotogaceae	Kosmotoga	Kosmotoga olearia	1	core
521096	Tsukamurella paurometabola	Tsukamurella paurometabola DSM 20162	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Tsukamurellaceae	Tsukamurella	Tsukamurella paurometabola	1	core
521098	Alicyclobacillus acidocaldarius DSM446	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	Alicyclobacillus acidocaldarius	Alicyclobacillus acidocaldarius subsp. acidocaldarius	core
521460	Caldicellulosiruptor bescii	Caldicellulosiruptor bescii DSM 6725	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor	Caldicellulosiruptor bescii	1	core
521674	Planctomyces limnophilus	Planctomyces limnophilus DSM 3776	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctopirus	Planctopirus limnophila	1	core
522306	Accumulibacter phosphatis	Candidatus Accumulibacter phosphatis clade IIA str. UW-1	Bacteria	Proteobacteria	Betaproteobacteria	1	1	Candidatus Accumulibacter	Candidatus Accumulibacter phosphatis	1	core
522373	Stenotrophomonas maltophilia K279a	Stenotrophomonas maltophilia K279a	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia	1	core
522772	Denitrovibrio acetiphilus	Denitrovibrio acetiphilus DSM 12809	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Denitrovibrio	Denitrovibrio acetiphilus	1	core
523791	Kangiella koreensis	Kangiella koreensis DSM 16069	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Kangiella	Kangiella koreensis	1	core
523794	Leptotrichia buccalis	Leptotrichia buccalis C-1013-b	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia buccalis	1	core
523846	Methanothermus fervidus	Methanothermus fervidus DSM 2088	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus	Methanothermus fervidus	1	core
523850	Thermococcus onnurineus	Thermococcus onnurineus NA1	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus onnurineus	1	core
525257	Chryseobacterium gleum	Chryseobacterium gleum ATCC 35910	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	Chryseobacterium gleum	1	core
525897	Desulfomicrobium baculatum	Desulfomicrobium baculatum DSM 4028	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium	Desulfomicrobium baculatum	1	core
525898	Sulfurospirillum deleyianum	Sulfurospirillum deleyianum DSM 6946	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Sulfurospirillum	Sulfurospirillum deleyianum	1	core
525903	Thermanaerovibrio acidaminovorans	Thermanaerovibrio acidaminovorans DSM 6589	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Thermanaerovibrio	Thermanaerovibrio acidaminovorans	1	core
525904	Thermobaculum terrenum	Thermobaculum terrenum ATCC BAA-798	Bacteria	phylum2	1	1	1	Thermobaculum	Thermobaculum terrenum	1	core
525909	Acidimicrobium ferrooxidans	Acidimicrobium ferrooxidans DSM 10331	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium	Acidimicrobium ferrooxidans	1	core
526218	Sebaldella termitidis	Sebaldella termitidis ATCC 33386	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sebaldella	Sebaldella termitidis	1	core
526225	Geodermatophilus obscurus	Geodermatophilus obscurus DSM 43160	Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Geodermatophilus	Geodermatophilus obscurus	1	core
529507	Proteus mirabilis	Proteus mirabilis HI4320	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Proteus	Proteus mirabilis	1	core
530564	Pirellula staleyi	Pirellula staleyi DSM 6068	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Pirellula	Pirellula staleyi	1	core
533240	Cylindrospermopsis raciborskii	Cylindrospermopsis raciborskii CS-505	Bacteria	Cyanobacteria	1	Nostocales	Nostocaceae	Cylindrospermopsis	Cylindrospermopsis raciborskii	1	core
533247	Raphidiopsis brookii	Raphidiopsis brookii D9	Bacteria	Cyanobacteria	1	Nostocales	Nostocaceae	Raphidiopsis	Raphidiopsis brookii	1	core
536227	Clostridium carboxidivorans	Clostridium carboxidivorans P7	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium carboxidivorans	1	periphery
536233	Clostridium botulinum E1 Beluga	Clostridium botulinum E1 str. BoNT E Beluga	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	1	periphery
537007	Blautia hansenii	Blautia hansenii DSM 20583	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia hansenii	1	core
537021	Liberibacter asiaticus	Candidatus Liberibacter asiaticus str. psy62	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Candidatus Liberibacter	Candidatus Liberibacter asiaticus	1	core
543526	Haloterrigena turkmenica	Haloterrigena turkmenica DSM 5511	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Haloterrigena	Haloterrigena turkmenica	1	core
545696	Holdemania filiformis	Holdemania filiformis DSM 12042	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania filiformis	1	core
546269	Filifactor alocis	Filifactor alocis ATCC 35896	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Filifactor	Filifactor alocis	1	core
546274	Eikenella corrodens	Eikenella corrodens ATCC 23834	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Eikenella corrodens	1	core
547558	Methanohalophilus mahii	Methanohalophilus mahii DSM 5219	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalophilus	Methanohalophilus mahii	1	core
547559	Natrialba magadii	Natrialba magadii ATCC 43099	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrialba	Natrialba magadii	1	core
548477	Corynebacterium glucuronolyticum	Corynebacterium glucuronolyticum ATCC 51867	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glucuronolyticum	1	core
550540	Ferrimonas balearica	Ferrimonas balearica DSM 9799	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Ferrimonadaceae	Ferrimonas	Ferrimonas balearica	1	core
551115	Nostoc azollae	Nostoc azollae 0708	Bacteria	Cyanobacteria	1	Nostocales	Nostocaceae	Trichormus	Trichormus azollae	1	core
552811	Dehalogenimonas lykanthroporepellens	Dehalogenimonas lykanthroporepellens BL-DC-9	Bacteria	Chloroflexi	Dehalococcoidia	1	1	Dehalogenimonas	Dehalogenimonas lykanthroporepellens	1	core
553190	Gardnerella vaginalis 40905	Gardnerella vaginalis 409-05	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis	1	core
553217	Enhydrobacter aerosaccus	Enhydrobacter aerosaccus SK60	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter	Enhydrobacter aerosaccus	1	core
555079	Thermosediminibacter oceani	Thermosediminibacter oceani DSM 16646	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Thermosediminibacter	Thermosediminibacter oceani	1	core
555088	Dethiobacter alkaliphilus	Dethiobacter alkaliphilus AHT 1	Bacteria	Firmicutes	Clostridia	Clostridiales	Syntrophomonadaceae	Dethiobacter	Dethiobacter alkaliphilus	1	core
555217	Zymomonas mobilis mobilis	Zymomonas mobilis subsp. mobilis ATCC 10988	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas	Zymomonas mobilis	Zymomonas mobilis subsp. mobilis	core
555778	Halothiobacillus neapolitanus	Halothiobacillus neapolitanus c2	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Halothiobacillaceae	Halothiobacillus	Halothiobacillus neapolitanus	1	core
555779	Desulfonatronospira thiodismutans	Desulfonatronospira thiodismutans ASO3-1	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfohalobiaceae	Desulfonatronospira	Desulfonatronospira thiodismutans	1	core
556261	Clostridium sp. D5	Clostridium sp. D5	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	1	1	periphery
556263	Fusobacterium sp. D12	Fusobacterium sp. D12	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum	1	core
556269	Oxalobacter formigenes OXCC13	Oxalobacter formigenes OXCC13	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacter	Oxalobacter formigenes	1	core
557598	Laribacter hongkongensis	Laribacter hongkongensis HLHK9	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Laribacter	Laribacter hongkongensis	1	core
562970	Kyrpidia tusciae	Kyrpidia tusciae DSM 2912	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Kyrpidia	Kyrpidia tusciae	1	core
562983	Gemella sanguinis	Gemella sanguinis M325	Bacteria	Firmicutes	Bacilli	Bacillales	1	Gemella	Gemella sanguinis	1	core
563192	Bilophila wadsworthia	Bilophila wadsworthia 3_1_6	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Bilophila wadsworthia	1	core
565034	Brachyspira hyodysenteriae	Brachyspira hyodysenteriae WA1	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira hyodysenteriae	1	core
568816	Acidaminococcus intestini	Acidaminococcus intestini RyC-MR95	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus intestini	1	core
572265	Hamiltonella defensa	Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Candidatus Hamiltonella	Candidatus Hamiltonella defensa	1	core
572477	Allochromatium vinosum	Allochromatium vinosum DSM 180	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Allochromatium	Allochromatium vinosum	1	core
572478	Vulcanisaeta distributa	Vulcanisaeta distributa DSM 14429	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	Vulcanisaeta distributa	1	core
572479	Halanaerobium praevalens	Halanaerobium praevalens DSM 2228	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae	Halanaerobium	Halanaerobium praevalens	1	core
572544	Ilyobacter polytropus	Ilyobacter polytropus DSM 2926	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Ilyobacter	Ilyobacter polytropus	1	core
572546	Archaeoglobus profundus	Archaeoglobus profundus DSM 5631	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus profundus	1	core
572547	Aminobacterium colombiense	Aminobacterium colombiense DSM 12261	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Aminobacterium	Aminobacterium colombiense	1	core
573061	Clostridium cellulovorans	Clostridium cellulovorans 743B	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium cellulovorans	1	periphery
573064	Methanocaldococcus fervens	Methanocaldococcus fervens AG86	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus fervens	1	core
573065	Asticcacaulis excentricus	Asticcacaulis excentricus CB 48	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Asticcacaulis excentricus	1	core
573234	Hodgkinia cicadicola	Candidatus Hodgkinia cicadicola Dsem	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	1	Candidatus Hodgkinia	Candidatus Hodgkinia cicadicola	1	core
573370	Desulfovibrio magneticus	Desulfovibrio magneticus RS-1	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio magneticus	1	core
573413	Spirochaeta smaragdinae	Spirochaeta smaragdinae DSM 11293	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	Spirochaeta smaragdinae	1	core
574087	Acetohalobium arabaticum	Acetohalobium arabaticum DSM 5501	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	Acetohalobium	Acetohalobium arabaticum	1	core
575540	Isosphaera pallida	Isosphaera pallida ATCC 43644	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Isosphaera	Isosphaera pallida	1	core
577650	Desulfobulbus propionicus	Desulfobulbus propionicus DSM 2032	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbus	Desulfobulbus propionicus	1	core
579405	Dickeya dadantii Ech703	Dickeya dadantii Ech703	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Dickeya	Dickeya dadantii	1	core
580327	Thermoanaerobact. thermosaccharolyticum	Thermoanaerobacterium thermosaccharolyticum DSM 571	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterium	Thermoanaerobacterium thermosaccharolyticum	1	core
580331	Thermoanaerobacter italicus	Thermoanaerobacter italicus Ab9	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	Thermoanaerobacter italicus	1	core
580332	Sideroxydans lithotrophicus	Sideroxydans lithotrophicus ES-1	Bacteria	Proteobacteria	Betaproteobacteria	Gallionellales	Gallionellaceae	Sideroxydans	Sideroxydans lithotrophicus	1	core
580340	Thermovirga lienii	Thermovirga lienii DSM 17291	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Thermovirga	Thermovirga lienii	1	core
582402	Hirschia baltica	Hirschia baltica ATCC 49814	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Hirschia	Hirschia baltica	1	core
582744	Methylovorus glucosetrophus	Methylovorus glucosetrophus SIP3-4	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylovorus	Methylovorus glucosotrophus	1	core
583355	Coraliomargarita akajimensis	Coraliomargarita akajimensis DSM 45221	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Coraliomargarita	Coraliomargarita akajimensis	1	core
583356	Ignisphaera aggregans	Ignisphaera aggregans DSM 17230	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignisphaera	Ignisphaera aggregans	1	core
584708	Aminomonas paucivorans	Aminomonas paucivorans DSM 12260	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Aminomonas	Aminomonas paucivorans	1	core
585530	Brevibacterium mcbrellneri	Brevibacterium mcbrellneri ATCC 49030	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium mcbrellneri	1	core
585531	Aeromicrobium marinum	Aeromicrobium marinum DSM 15272	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium	Aeromicrobium marinum	1	core
589865	Desulfurivibrio alkaliphilus	Desulfurivibrio alkaliphilus AHT2	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfurivibrio	Desulfurivibrio alkaliphilus	1	core
589924	Ferroglobus placidus	Ferroglobus placidus DSM 10642	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Ferroglobus	Ferroglobus placidus	1	core
590998	Cellulomonas fimi	Cellulomonas fimi ATCC 484	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas fimi	1	core
592010	Abiotrophia defectiva	Abiotrophia defectiva ATCC 49176	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia defectiva	1	core
592015	Anaerobaculum hydrogeniformans	Anaerobaculum hydrogeniformans ATCC BAA-1850	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Anaerobaculum	Anaerobaculum hydrogeniformans	1	core
592026	Catonella morbi	Catonella morbi ATCC 51271	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Catonella	Catonella morbi	1	core
592027	Clostridium botulinum D 1873	Clostridium botulinum D str. 1873	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	1	periphery
592028	Dialister invisus	Dialister invisus DSM 15470	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	Dialister invisus	1	core
